Transaction Amount,Quantity,Customer Age,Is Fraudulent,Account Age Days,Transaction Hour,Payment Method_bank transfer,Payment Method_credit card,Payment Method_debit card,Device Used_mobile,Device Used_tablet,Product Category_electronics,Product Category_health & beauty,Product Category_home & garden,Product Category_toys & games
84.91,1,31,0,34,19,True,False,False,False,True,True,False,False,False
30.99,3,47,0,95,2,False,True,False,True,False,True,False,False,False
310.32,4,50,0,304,19,False,False,True,True,False,False,False,False,False
40.5,1,38,0,14,15,True,False,False,False,True,False,False,True,False
537.91,2,31,0,274,13,False,False,True,False,True,False,False,True,False
200.19,4,35,0,308,2,True,False,False,True,False,False,False,False,True
45.64,1,35,0,45,22,False,True,False,True,False,True,False,False,False
62.78,1,41,0,119,4,True,False,False,True,False,False,False,False,False
175.76,4,47,0,232,3,False,False,False,True,False,False,True,False,False
206.05,4,36,1,10,2,True,False,False,False,False,False,True,False,False
87.7,5,42,0,63,1,False,False,False,False,False,False,False,True,False
37.99,4,47,0,276,9,False,False,False,False,True,False,True,False,False
554.7,2,38,0,203,16,True,False,False,False,False,False,False,True,False
43.13,2,37,0,304,6,True,False,False,False,True,False,False,False,False
100.89,3,36,0,21,17,False,False,True,False,True,False,False,False,True
328.66,5,58,0,58,3,False,True,False,False,True,False,False,True,False
72.51,4,41,0,365,18,True,False,False,False,True,True,False,False,False
308.69,2,16,0,99,7,False,False,False,True,False,False,False,True,False
104.84,3,17,1,48,21,False,False,True,True,False,False,False,False,True
102.93,3,53,0,113,10,True,False,False,True,False,False,False,False,False
413.97,2,47,0,160,12,True,False,False,False,True,False,False,False,False
53.36,3,15,0,337,9,False,True,False,False,False,False,False,False,True
321.42,4,37,0,193,17,False,False,False,False,False,False,False,False,True
12.45,4,36,0,129,13,False,False,False,True,False,True,False,False,False
880.63,2,41,0,134,12,False,False,True,True,False,False,False,False,False
179.92,5,40,0,161,5,False,False,False,True,False,False,False,True,False
22.58,3,42,0,102,9,False,True,False,False,False,False,False,False,False
293.55,1,39,0,331,9,False,False,False,False,False,True,False,False,False
264.78,5,31,0,257,13,False,True,False,False,True,False,True,False,False
60.39,5,45,0,24,1,False,False,False,True,False,False,False,True,False
426.88,1,26,0,181,4,False,False,True,False,False,False,False,True,False
299.51,4,31,0,198,19,True,False,False,False,True,False,False,True,False
39.1,4,56,0,10,11,False,False,False,True,False,False,True,False,False
108.49,4,45,0,324,17,False,False,False,False,False,False,False,True,False
372.16,5,34,0,206,16,False,False,True,False,True,False,False,False,True
73.09,3,9,0,147,10,True,False,False,False,False,True,False,False,False
421.33,3,33,0,159,19,False,True,False,True,False,False,False,True,False
156.74,4,36,0,317,16,False,False,True,True,False,True,False,False,False
283.6,2,30,0,364,10,False,False,False,False,False,False,False,True,False
370.98,3,15,0,314,13,False,True,False,False,False,False,False,False,True
1076.35,3,35,1,15,23,False,True,False,False,True,False,True,False,False
1346.07,5,31,0,318,5,True,False,False,False,False,False,False,True,False
332.06,5,42,0,90,4,True,False,False,False,False,False,False,False,False
110.05,3,27,0,354,2,False,False,True,True,False,False,False,False,True
371.33,5,43,0,169,10,True,False,False,True,False,False,False,True,False
141.26,5,27,0,321,3,True,False,False,True,False,True,False,False,False
